127.0.0.1 - - [14/Sep/2016:13:19:56 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Sep/2016:13:24:57 -0300] "GET /ProjetoJSF/CadastroPessoas.xhtml HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [14/Sep/2016:13:24:59 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2016:13:24:59 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [14/Sep/2016:13:24:59 -0300] "GET /ProjetoJSF/imagens/logo.png;jsessionid=2997D0D99D3E7DDA3F941F463534EEC8 HTTP/1.1" 200 6078
0:0:0:0:0:0:0:1 - - [14/Sep/2016:13:25:00 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [14/Sep/2016:13:25:07 -0300] "GET /ProjetoJSF/Home.xhtml;jsessionid=2997D0D99D3E7DDA3F941F463534EEC8 HTTP/1.1" 200 1388
0:0:0:0:0:0:0:1 - - [14/Sep/2016:13:25:07 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:25:17 -0300] "POST /ProjetoJSF/Login.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:25:17 -0300] "GET /ProjetoJSF/Home.xhtml HTTP/1.1" 200 1830
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:25:18 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:25:18 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2016:13:26:50 -0300] "POST /ProjetoJSF/Home.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2016:13:26:51 -0300] "GET /ProjetoJSF/Login.xhtml HTTP/1.1" 200 1391
0:0:0:0:0:0:0:1 - - [14/Sep/2016:13:26:51 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:26:58 -0300] "POST /ProjetoJSF/Login.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:26:58 -0300] "GET /ProjetoJSF/Home.xhtml HTTP/1.1" 200 1829
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:26:59 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:26:59 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:18 -0300] "GET /ProjetoJSF/ConsultaPessoas.xhtml HTTP/1.1" 200 3473
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:19 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:19 -0300] "GET /ProjetoJSF/javax.faces.resource/consulta-pessoas.css.xhtml?ln=css HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:19 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:24 -0300] "GET /ProjetoJSF/CadastroPessoas.xhtml?codigo=2 HTTP/1.1" 200 3872
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:24 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:24 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:28 -0300] "GET /ProjetoJSF/CadastroPessoas.xhtml HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:28 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:28 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:32 -0300] "GET /ProjetoJSF/ConsultaPessoas.xhtml HTTP/1.1" 200 3467
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:32 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:32 -0300] "GET /ProjetoJSF/javax.faces.resource/consulta-pessoas.css.xhtml?ln=css HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:32 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:35 -0300] "GET /ProjetoJSF/CadastroPessoas.xhtml HTTP/1.1" 200 3776
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:35 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:35 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:41 -0300] "GET /ProjetoJSF/ConsultaPessoas.xhtml HTTP/1.1" 200 3473
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:42 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:42 -0300] "GET /ProjetoJSF/javax.faces.resource/consulta-pessoas.css.xhtml?ln=css HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:42 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:43 -0300] "GET /ProjetoJSF/ConsultaLancamento.xhtml HTTP/1.1" 200 3700
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:44 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:44 -0300] "GET /ProjetoJSF/javax.faces.resource/consulta-lancamentos.css.xhtml?ln=css HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:46:44 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
